statistical_area2,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°„C),Quality
Howard Springs,14041,2016,7,33.3,Y
Howard Springs,14041,2016,8,34.8,Y
Howard Springs,14041,2016,9,36.4,Y
Howard Springs,14041,2016,10,36.7,Y
Howard Springs,14041,2016,11,36.2,Y
Howard Springs,14041,2016,12,34,Y
Howard Springs,14041,2017,1,33.1,Y
Howard Springs,14041,2017,2,32.9,Y
Howard Springs,14041,2017,3,33.5,Y
Howard Springs,14041,2017,4,32.9,Y
Howard Springs,14041,2017,5,33.8,Y
Howard Springs,14041,2017,6,32.2,Y
Howard Springs,14041,2017,7,34.1,Y
Howard Springs,14041,2017,8,35.4,Y
Howard Springs,14041,2017,9,37.3,Y
Howard Springs,14041,2017,10,37.3,Y
Howard Springs,14041,2017,11,35.6,Y
Howard Springs,14041,2017,12,35.6,Y
Howard Springs,14041,2018,1,32.3,Y
Howard Springs,14041,2018,2,32.8,Y
Howard Springs,14041,2018,3,34.4,Y
Howard Springs,14041,2018,4,35.1,Y
Howard Springs,14041,2018,5,33.3,Y
Howard Springs,14041,2018,6,32.7,Y
Howard Springs,14041,2018,7,33.6,Y
Howard Springs,14041,2018,8,34.3,Y
Howard Springs,14041,2018,9,37.3,Y
Howard Springs,14041,2018,10,37.6,Y
Howard Springs,14041,2018,11,36.5,Y
Howard Springs,14041,2018,12,36.2,Y
Howard Springs,14041,2019,1,34.2,Y
Howard Springs,14041,2019,2,35.4,Y
Howard Springs,14041,2019,3,34.9,Y
Howard Springs,14041,2019,4,33.9,Y
Howard Springs,14041,2019,5,33.2,Y
Howard Springs,14041,2019,6,32.3,Y
Howard Springs,14041,2019,7,33,Y
Howard Springs,14041,2019,8,34.1,Y
Howard Springs,14041,2019,9,36.3,Y
Howard Springs,14041,2019,10,38.4,Y
Howard Springs,14041,2019,11,37.4,Y
Howard Springs,14041,2019,12,37.3,Y
Howard Springs,14041,2020,1,34.4,Y
Howard Springs,14041,2020,2,34.9,Y
Howard Springs,14041,2020,3,34.2,Y
Howard Springs,14041,2020,4,34.5,Y
Howard Springs,14041,2020,5,33,Y
Howard Springs,14041,2020,6,33.4,Y
Howard Springs,14041,2020,7,33.3,Y
Howard Springs,14041,2020,8,35.4,Y
