reporting_region,year,month_number,Mean_maximum_temperature
Darwin,2009,11,33.7
Darwin,2009,12,32.9
Darwin,2010,1,31.5
Darwin,2010,2,32.6
Darwin,2010,3,33.3
Darwin,2010,4,32.5
Darwin,2010,5,32.3
Darwin,2010,6,31.1
Darwin,2010,7,32.6
Darwin,2010,8,32.8
Darwin,2010,9,34
Darwin,2010,10,33.7
Darwin,2010,11,33
Darwin,2010,12,31.9
Darwin,2011,1,31.1
Darwin,2011,2,30.5
Darwin,2011,3,31
Darwin,2011,4,31.7
Darwin,2011,5,30.8
Darwin,2011,6,29
Darwin,2011,7,31.2
Darwin,2011,8,31.9
Darwin,2011,9,32.8
Darwin,2011,10,33.3
Darwin,2011,11,32.9
Darwin,2011,12,33.3
Darwin,2012,1,32.6
Darwin,2012,2,32.4
Darwin,2012,3,31.8
Darwin,2012,4,32.8
Darwin,2012,5,31.1
Darwin,2012,6,29.7
Darwin,2012,7,30.6
Darwin,2012,8,31.4
Darwin,2012,9,33.7
Darwin,2012,10,33.9
Darwin,2012,11,33.9
Darwin,2012,12,34.2
Darwin,2013,1,32.9
Darwin,2013,2,32.6
Darwin,2013,3,32
Darwin,2013,4,33.7
Darwin,2013,5,32.7
Darwin,2013,6,31.8
Darwin,2013,7,31.5
Darwin,2013,8,32.1
Darwin,2013,9,33.3
Darwin,2013,10,34.1
Darwin,2013,11,32.9
Darwin,2013,12,32.6
Darwin,2014,1,31.7
Darwin,2014,2,31.3
Darwin,2014,3,33
Darwin,2014,4,33
Darwin,2014,5,32.7
Darwin,2014,6,31.2
Darwin,2014,7,31.1
Darwin,2014,8,31.9
Darwin,2014,9,33.2
Darwin,2014,10,34.3
Darwin,2014,11,34.3
Darwin,2014,12,34
Darwin,2015,1,31.2
Darwin,2015,2,32.6
Darwin,2015,3,32.7
Darwin,2015,4,33.2
Darwin,2015,5,32.6
Darwin,2015,6,32
Darwin,2015,7,31.3
Darwin,2015,8,31.8
Darwin,2015,9,33.2
Darwin,2015,10,33.8
Darwin,2015,11,34.7
Darwin,2015,12,32.4
Darwin,2016,1,33
Darwin,2016,2,33.5
Darwin,2016,3,33.7
Darwin,2016,4,34.5
Darwin,2016,5,33.5
